sektion,finding_id,typ,quelle_soll,quelle_ist,soll,ist,beschreibung
G,G.5,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,Taurin
G,G.6,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,CLA (Konjugierte Linolsäure)
G,G.7,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,MCT-Öl
G,G.8,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,Silizium
G,G.9,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,Berberin
G,G.10,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,Quercetin
G,G.11,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,Resveratrol
G,G.12,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,Alpha-Liponsäure
G,G.13,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,Beta-Glucan
G,G.14,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,Hyaluronsäure
G,G.15,SUPPLEMENT_OHNE_QUELLE,v5_export,v5_export,URL vorhanden,kein URL,NADH
